Code,Name
AF,Harita Kencana Sekuritas
AG,Kiwoom Sekuritas Indonesia
AH,Shinhan Sekuritas Indonesia
AI,UOB Kay Hian Sekuritas
AK,UBS Sekuritas Indonesia
AN,Wanteg Sekuritas
AO,Erdikha Elit Sekuritas
AP,Pacific Sekuritas Indonesia
AR,Binaartha Sekuritas
AT,Phintraco Sekuritas
AZ,Sucor Sekuritas
BB,Verdhana Sekuritas Indonesia
BF,Inti Fikasa Sekuritas
BK,J.P. Morgan Sekuritas Indonesia
BQ,Korea Investment and Sekuritas Indonesia
BR,Trust Sekuritas
BS,Equity Sekuritas Indonesia
BW,BNP Paribas Sekuritas
C3,CIMB Niaga Sekuritas
CC,Mandiri Sekuritas
CD,Mega Capital Sekuritas
CG,Citigroup Sekuritas
CP,KB Valbury Sekuritas
CS,Credit Suisse Sekuritas
DB,Deutsche Sekuritas
DD,Makindo Sekuritas
DH,Sinarmas Sekuritas
DM,Masindo Artha Sekuritas
DP,DBS Vickers Sekuritas Indonesia
DR,RHB Sekuritas Indonesia
DU,KAF Sekuritas Indonesia
DX,Bahana Sekuritas
EL,Evergreen Sekuritas Indonesia
EP,MNC Sekuritas
ES,Ekokapital Sekuritas
FO,Forte Global Sekuritas
FS,Yuanta Sekuritas Indonesia
FZ,Waterfront Sekuritas Indonesia
GA,BNC Sekuritas Indonesia
GI,Webull Sekuritas Indonesia
GR,Panin Sekuritas Tbk.
GW,HSBC Sekuritas Indonesia
HD,KGI Sekuritas Indonesia
HP,Henan Putihrai Sekuritas
ID,Anugerah Sekuritas Indonesia
IF,Samuel Sekuritas Indonesia
IH,Pacific 2000 Sekuritas
II,Danatama Makmur Sekuritas
IN,Investindo Nusantara Sekuritas
IP,Yugen Bertumbuh Sekuritas
IT,Inti Teladan Sekuritas
IU,Indo Capital Sekuritas
JB,[CC] BJB Sekuritas Jawa Barat
KI,Ciptadana Sekuritas Asia
KK,Phillip Sekuritas Indonesia
KZ,CLSA Sekuritas Indonesia
LG,Trimegah Sekuritas Indonesia Tbk.
LS,Reliance Sekuritas Indonesia Tbk.
MG,Semesta Indovest Sekuritas
MI,Victoria Sekuritas Indonesia
MS,Morgan Stanley
MU,Minna Padi Investama Sekuritas
NI,BNI Sekuritas
OD,BRI Danareksa Sekuritas
OK,Net Sekuritas
PC,FAC Sekuritas Indonesia
PD,Indo Premier Sekuritas
PF,Danasakti Sekuritas Indonesia
PG,Panca Global Sekuritas
PO,Pilarmas Investindo Sekuritas
PP,Aldiracita Sekuritas Indonesia
PS,Paramitra Alfa Sekuritas
RB,Ina Sekuritas Indonesia
RF,Buana Capital Sekuritas
RG,Profindo Sekuritas Indonesia
RO,Pluang Maju Sekuritas
RS,Yulie Sekuritas Indonesia Tbk.
RX,Macquarie Sekuritas Indonesia
SA,Elit Sukses Sekuritas
SC,IMG Sekuritas
SF,Surya Fajar Sekuritas
SH,Artha Sekuritas Indonesia
SQ,BCA Sekuritas
SS,Supra Sekuritas Indonesia
TF,Universal Broker Indonesia Sekuritas
TP,OCBC Sekuritas
TS,Dwidana Sakti Sekuritas
XA,NH Korindo Sekuritas
XC,Ajaib Sekuritas Asia
XL,Stockbit Sekuritas Digital
YB,Jasa Utama Capital Sekuritas
YJ,Lotus Andalan Sekuritas
YO,Amantara Sekuritas
YP,Mirae Asset Sekuritas
YU,CGS International Sekuritas
ZP,Maybank Sekuritas
ZR,Bumiputera Sekuritas
